Date,"Article[Sentiment,Magnitude]"
9/21/14,"[[0.0, 15.800000190734863], [0.10000000149011612, 7.199999809265137], [-0.10000000149011612, 1.5], [0.10000000149011612, 5.0], [0.10000000149011612, 3.0999999046325684], [-0.10000000149011612, 6.400000095367432], [-0.30000001192092896, 3.0999999046325684], [0.20000000298023224, 12.0], [0.20000000298023224, 3.799999952316284], [0.20000000298023224, 6.300000190734863]]"
9/22/14,"[[-0.20000000298023224, 3.700000047683716], [-0.10000000149011612, 10.699999809265137], [0.0, 4.5], [0.20000000298023224, 5.400000095367432], [0.10000000149011612, 1.899999976158142], [-0.20000000298023224, 8.699999809265137], [0.0, 2.799999952316284], [-0.4000000059604645, 4.800000190734863], [0.0, 1.399999976158142], [0.0, 20.0]]"
9/23/14,"[[-0.30000001192092896, 13.5], [0.10000000149011612, 1.600000023841858], [0.0, 36.5], [0.0, 4.199999809265137], [0.0, 7.300000190734863], [0.20000000298023224, 5.400000095367432], [0.30000001192092896, 8.399999618530273], [0.10000000149011612, 3.200000047683716], [-0.20000000298023224, 2.700000047683716]]"
9/24/14,"[[-0.30000001192092896, 3.299999952316284], [0.0, 3.5999999046325684], [-0.10000000149011612, 2.5999999046325684], [0.0, 0.30000001192092896], [-0.10000000149011612, 8.399999618530273], [-0.10000000149011612, 4.5], [0.0, 5.5], [0.0, 7.400000095367432], [0.20000000298023224, 2.299999952316284], [0.0, 3.799999952316284]]"
9/25/14,"[[0.10000000149011612, 1.600000023841858], [0.10000000149011612, 4.800000190734863], [-0.30000001192092896, 5.699999809265137], [0.0, 14.100000381469727], [0.0, 4.5], [-0.10000000149011612, 3.0], [-0.5, 5.300000190734863], [-0.20000000298023224, 1.7000000476837158], [-0.20000000298023224, 5.699999809265137], [-0.699999988079071, 1.5]]"
9/26/14,"[[0.0, 2.700000047683716], [-0.10000000149011612, 1.899999976158142], [0.10000000149011612, 3.299999952316284], [0.4000000059604645, 3.0999999046325684], [0.0, 2.299999952316284], [0.0, 4.800000190734863], [0.4000000059604645, 6.0], [0.0, 2.700000047683716], [-0.10000000149011612, 2.299999952316284], [0.0, 13.399999618530273]]"
9/27/14,"[[0.4000000059604645, 3.5999999046325684], [0.0, 1.7000000476837158]]"
9/28/14,"[[0.0, 24.799999237060547], [-0.20000000298023224, 6.0], [0.0, 9.899999618530273], [0.0, 6.300000190734863], [0.10000000149011612, 8.600000381469727], [0.0, 4.099999904632568], [0.10000000149011612, 8.300000190734863], [0.20000000298023224, 5.900000095367432], [-0.10000000149011612, 16.299999237060547], [-0.10000000149011612, 25.299999237060547]]"
9/29/14,"[[0.10000000149011612, 3.5], [0.0, 10.800000190734863], [0.0, 26.600000381469727], [0.0, 10.5], [0.0, 20.299999237060547], [-0.20000000298023224, 5.599999904632568], [-0.6000000238418579, 7.0], [-0.10000000149011612, 2.299999952316284], [0.0, 6.099999904632568]]"
9/30/14,"[[0.0, 6.400000095367432], [0.20000000298023224, 8.800000190734863], [0.0, 8.100000381469727], [0.0, 9.0], [0.20000000298023224, 3.5], [0.4000000059604645, 15.5], [0.0, 4.599999904632568]]"
10/1/14,"[[-0.10000000149011612, 6.5], [0.20000000298023224, 3.200000047683716], [-0.30000001192092896, 3.299999952316284], [0.10000000149011612, 7.400000095367432], [-0.4000000059604645, 5.400000095367432], [0.0, 2.299999952316284], [0.0, 8.600000381469727], [0.0, 2.0], [0.20000000298023224, 4.599999904632568], [0.4000000059604645, 7.300000190734863]]"
10/2/14,"[[0.0, 14.300000190734863], [0.20000000298023224, 3.4000000953674316], [0.20000000298023224, 2.0999999046325684], [0.0, 6.900000095367432], [0.10000000149011612, 4.300000190734863], [-0.20000000298023224, 4.300000190734863], [-0.30000001192092896, 1.600000023841858], [0.0, 4.400000095367432], [-0.10000000149011612, 5.900000095367432], [0.0, 30.700000762939453]]"
10/3/14,"[[0.0, 2.700000047683716], [0.10000000149011612, 19.799999237060547], [0.20000000298023224, 9.399999618530273], [-0.30000001192092896, 1.5], [0.0, 4.900000095367432], [0.0, 5.099999904632568], [0.0, 5.099999904632568], [0.0, 11.0], [-0.10000000149011612, 14.0], [-0.10000000149011612, 16.899999618530273]]"
10/4/14,"[[0.10000000149011612, 9.5], [-0.20000000298023224, 3.799999952316284], [0.0, 9.199999809265137], [0.0, 41.70000076293945], [0.0, 19.799999237060547], [-0.20000000298023224, 3.9000000953674316], [0.0, 9.800000190734863], [-0.10000000149011612, 7.5], [0.0, 20.0], [0.10000000149011612, 2.4000000953674316]]"
10/5/14,"[[0.0, 5.199999809265137], [-0.20000000298023224, 9.100000381469727], [0.0, 15.699999809265137], [-0.10000000149011612, 15.800000190734863], [0.10000000149011612, 10.800000190734863], [0.0, 18.200000762939453], [-0.10000000149011612, 3.5], [0.4000000059604645, 1.399999976158142], [-0.20000000298023224, 6.599999904632568], [0.10000000149011612, 8.699999809265137]]"
10/6/14,"[[0.0, 6.599999904632568], [0.0, 6.400000095367432], [0.0, 8.300000190734863], [0.10000000149011612, 4.699999809265137], [0.10000000149011612, 5.199999809265137], [0.10000000149011612, 3.0999999046325684], [-0.10000000149011612, 7.099999904632568], [0.10000000149011612, 1.600000023841858], [-0.10000000149011612, 3.700000047683716], [-0.20000000298023224, 5.5]]"
10/7/14,"[[0.20000000298023224, 5.300000190734863], [0.4000000059604645, 1.600000023841858], [-0.20000000298023224, 7.0], [-0.10000000149011612, 6.900000095367432], [0.0, 2.799999952316284], [0.0, 12.800000190734863], [0.0, 3.4000000953674316], [0.0, 6.099999904632568], [0.20000000298023224, 4.5], [-0.10000000149011612, 6.300000190734863]]"
10/8/14,"[[0.10000000149011612, 0.5], [0.0, 5.5], [0.10000000149011612, 3.0], [0.4000000059604645, 9.600000381469727], [-0.30000001192092896, 3.9000000953674316], [0.30000001192092896, 6.599999904632568], [0.30000001192092896, 3.5999999046325684], [0.0, 7.400000095367432], [0.0, 5.599999904632568], [-0.10000000149011612, 8.5]]"
