Date,Articles,"Article[Sentiment,Magnitude]"
09/29/2017,"[[-0.20000000298023224, 2.9000000953674316], [-0.20000000298023224, 3.700000047683716], [-0.20000000298023224, 4.400000095367432], [-0.20000000298023224, 1.100000023841858], [0.0, 2.5999999046325684], [-0.20000000298023224, 5.800000190734863], [-0.30000001192092896, 4.199999809265137], [-0.20000000298023224, 7.300000190734863], [-0.30000001192092896, 49.0], [-0.10000000149011612, 5.400000095367432]]","[[-0.20000000298023224, 2.9000000953674316], [-0.20000000298023224, 3.700000047683716], [-0.20000000298023224, 4.400000095367432], [-0.20000000298023224, 1.100000023841858], [0.0, 2.5999999046325684], [-0.20000000298023224, 5.800000190734863], [-0.30000001192092896, 4.199999809265137], [-0.20000000298023224, 7.300000190734863], [-0.30000001192092896, 49.0], [-0.10000000149011612, 5.400000095367432]]"
09/30/2017,"[[0.0, 6.099999904632568], [0.10000000149011612, 6.400000095367432], [-0.30000001192092896, 2.5999999046325684], [-0.6000000238418579, 3.799999952316284], [0.0, 9.199999809265137], [-0.10000000149011612, 5.099999904632568], [-0.10000000149011612, 13.5], [0.10000000149011612, 4.800000190734863], [0.0, 7.0], [0.10000000149011612, 1.2000000476837158]]","[[0.0, 6.099999904632568], [0.10000000149011612, 6.400000095367432], [-0.30000001192092896, 2.5999999046325684], [-0.6000000238418579, 3.799999952316284], [0.0, 9.199999809265137], [-0.10000000149011612, 5.099999904632568], [-0.10000000149011612, 13.5], [0.10000000149011612, 4.800000190734863], [0.0, 7.0], [0.10000000149011612, 1.2000000476837158]]"
10/01/2017,"[[-0.10000000149011612, 12.300000190734863], [0.0, 29.899999618530273], [-0.4000000059604645, 2.0999999046325684], [-0.30000001192092896, 6.599999904632568], [-0.4000000059604645, 8.399999618530273], [0.0, 7.599999904632568], [0.0, 5.599999904632568], [0.0, 10.300000190734863], [-0.20000000298023224, 2.5], [0.20000000298023224, 5.300000190734863]]","[[-0.10000000149011612, 12.300000190734863], [0.0, 29.899999618530273], [-0.4000000059604645, 2.0999999046325684], [-0.30000001192092896, 6.599999904632568], [-0.4000000059604645, 8.399999618530273], [0.0, 7.599999904632568], [0.0, 5.599999904632568], [0.0, 10.300000190734863], [-0.20000000298023224, 2.5], [0.20000000298023224, 5.300000190734863]]"
10/02/2017,"[[0.0, 1.7000000476837158], [0.0, 6.900000095367432], [-0.10000000149011612, 8.300000190734863], [0.10000000149011612, 2.700000047683716], [-0.4000000059604645, 2.4000000953674316], [-0.800000011920929, 1.7000000476837158], [-0.10000000149011612, 4.5], [0.10000000149011612, 0.8999999761581421], [0.4000000059604645, 0.8999999761581421], [0.0, 6.599999904632568]]","[[0.0, 1.7000000476837158], [0.0, 6.900000095367432], [-0.10000000149011612, 8.300000190734863], [0.10000000149011612, 2.700000047683716], [-0.4000000059604645, 2.4000000953674316], [-0.800000011920929, 1.7000000476837158], [-0.10000000149011612, 4.5], [0.10000000149011612, 0.8999999761581421], [0.4000000059604645, 0.8999999761581421], [0.0, 6.599999904632568]]"
10/03/2017,"[[-0.10000000149011612, 2.299999952316284], [-0.20000000298023224, 2.299999952316284], [-0.10000000149011612, 2.700000047683716], [-0.10000000149011612, 1.399999976158142], [0.0, 2.5999999046325684], [-0.6000000238418579, 1.2000000476837158], [-0.10000000149011612, 3.5999999046325684], [0.0, 5.099999904632568], [-0.5, 3.4000000953674316]]","[[-0.10000000149011612, 2.299999952316284], [-0.20000000298023224, 2.299999952316284], [-0.10000000149011612, 2.700000047683716], [-0.10000000149011612, 1.399999976158142], [0.0, 2.5999999046325684], [-0.6000000238418579, 1.2000000476837158], [-0.10000000149011612, 3.5999999046325684], [0.0, 5.099999904632568], [-0.5, 3.4000000953674316]]"
10/04/2017,"[[-0.5, 1.100000023841858], [-0.20000000298023224, 1.7000000476837158], [-0.4000000059604645, 2.9000000953674316], [-0.20000000298023224, 1.7999999523162842], [-0.4000000059604645, 2.799999952316284], [0.0, 4.900000095367432], [-0.20000000298023224, 2.299999952316284], [-0.10000000149011612, 9.800000190734863], [0.0, 10.600000381469727], [0.0, 0.10000000149011612]]","[[-0.5, 1.100000023841858], [-0.20000000298023224, 1.7000000476837158], [-0.4000000059604645, 2.9000000953674316], [-0.20000000298023224, 1.7999999523162842], [-0.4000000059604645, 2.799999952316284], [0.0, 4.900000095367432], [-0.20000000298023224, 2.299999952316284], [-0.10000000149011612, 9.800000190734863], [0.0, 10.600000381469727], [0.0, 0.10000000149011612]]"
10/05/2017,"[[-0.20000000298023224, 4.099999904632568], [-0.20000000298023224, 16.0], [0.20000000298023224, 12.300000190734863], [-0.30000001192092896, 5.400000095367432], [-0.30000001192092896, 9.600000381469727], [-0.10000000149011612, 4.099999904632568], [-0.20000000298023224, 2.9000000953674316], [-0.4000000059604645, 2.4000000953674316], [-0.5, 5.300000190734863], [0.10000000149011612, 3.200000047683716]]","[[-0.20000000298023224, 4.099999904632568], [-0.20000000298023224, 16.0], [0.20000000298023224, 12.300000190734863], [-0.30000001192092896, 5.400000095367432], [-0.30000001192092896, 9.600000381469727], [-0.10000000149011612, 4.099999904632568], [-0.20000000298023224, 2.9000000953674316], [-0.4000000059604645, 2.4000000953674316], [-0.5, 5.300000190734863], [0.10000000149011612, 3.200000047683716]]"
10/06/2017,"[[-0.4000000059604645, 3.4000000953674316], [-0.800000011920929, 0.800000011920929], [0.0, 5.900000095367432], [0.10000000149011612, 5.300000190734863], [0.0, 0.30000001192092896], [0.10000000149011612, 2.0999999046325684], [0.0, 2.0], [0.10000000149011612, 4.300000190734863], [0.20000000298023224, 3.9000000953674316], [-0.20000000298023224, 5.400000095367432]]","[[-0.4000000059604645, 3.4000000953674316], [-0.800000011920929, 0.800000011920929], [0.0, 5.900000095367432], [0.10000000149011612, 5.300000190734863], [0.0, 0.30000001192092896], [0.10000000149011612, 2.0999999046325684], [0.0, 2.0], [0.10000000149011612, 4.300000190734863], [0.20000000298023224, 3.9000000953674316], [-0.20000000298023224, 5.400000095367432]]"
10/07/2017,"[[0.0, 3.700000047683716], [0.0, 5.099999904632568], [-0.5, 1.7999999523162842], [0.10000000149011612, 2.700000047683716], [0.0, 2.799999952316284], [0.0, 3.299999952316284], [0.0, 3.4000000953674316], [0.4000000059604645, 0.8999999761581421], [-0.4000000059604645, 6.199999809265137], [-0.5, 2.0]]","[[0.0, 3.700000047683716], [0.0, 5.099999904632568], [-0.5, 1.7999999523162842], [0.10000000149011612, 2.700000047683716], [0.0, 2.799999952316284], [0.0, 3.299999952316284], [0.0, 3.4000000953674316], [0.4000000059604645, 0.8999999761581421], [-0.4000000059604645, 6.199999809265137], [-0.5, 2.0]]"
10/08/2017,"[[0.0, 9.600000381469727], [0.4000000059604645, 0.8999999761581421], [0.30000001192092896, 3.0], [0.0, 1.7000000476837158], [-0.20000000298023224, 4.0], [-0.10000000149011612, 6.699999809265137], [-0.10000000149011612, 7.400000095367432], [0.0, 14.300000190734863], [0.10000000149011612, 4.699999809265137], [-0.20000000298023224, 6.599999904632568]]","[[0.0, 9.600000381469727], [0.4000000059604645, 0.8999999761581421], [0.30000001192092896, 3.0], [0.0, 1.7000000476837158], [-0.20000000298023224, 4.0], [-0.10000000149011612, 6.699999809265137], [-0.10000000149011612, 7.400000095367432], [0.0, 14.300000190734863], [0.10000000149011612, 4.699999809265137], [-0.20000000298023224, 6.599999904632568]]"
10/09/2017,"[[0.0, 14.0], [0.0, 4.400000095367432], [0.0, 1.100000023841858], [-0.10000000149011612, 8.0], [-0.800000011920929, 1.600000023841858], [0.0, 8.5], [0.0, 10.800000190734863], [-0.20000000298023224, 3.5999999046325684], [0.0, 1.7999999523162842], [-0.4000000059604645, 5.400000095367432]]","[[0.0, 14.0], [0.0, 4.400000095367432], [0.0, 1.100000023841858], [-0.10000000149011612, 8.0], [-0.800000011920929, 1.600000023841858], [0.0, 8.5], [0.0, 10.800000190734863], [-0.20000000298023224, 3.5999999046325684], [0.0, 1.7999999523162842], [-0.4000000059604645, 5.400000095367432]]"
10/10/2017,"[[-0.4000000059604645, 3.9000000953674316], [0.0, 5.400000095367432], [0.10000000149011612, 4.300000190734863], [0.10000000149011612, 1.2000000476837158], [-0.30000001192092896, 4.0], [0.0, 5.900000095367432], [0.0, 1.5], [-0.30000001192092896, 6.5], [0.20000000298023224, 7.099999904632568], [-0.20000000298023224, 3.5999999046325684]]","[[-0.4000000059604645, 3.9000000953674316], [0.0, 5.400000095367432], [0.10000000149011612, 4.300000190734863], [0.10000000149011612, 1.2000000476837158], [-0.30000001192092896, 4.0], [0.0, 5.900000095367432], [0.0, 1.5], [-0.30000001192092896, 6.5], [0.20000000298023224, 7.099999904632568], [-0.20000000298023224, 3.5999999046325684]]"
10/11/2017,"[[-0.10000000149011612, 3.299999952316284], [-0.20000000298023224, 1.899999976158142], [0.0, 9.800000190734863], [-0.20000000298023224, 3.5999999046325684], [-0.10000000149011612, 1.5], [0.0, 9.800000190734863], [0.0, 2.4000000953674316], [0.0, 0.10000000149011612], [0.0, 2.9000000953674316], [0.0, 5.199999809265137]]","[[-0.10000000149011612, 3.299999952316284], [-0.20000000298023224, 1.899999976158142], [0.0, 9.800000190734863], [-0.20000000298023224, 3.5999999046325684], [-0.10000000149011612, 1.5], [0.0, 9.800000190734863], [0.0, 2.4000000953674316], [0.0, 0.10000000149011612], [0.0, 2.9000000953674316], [0.0, 5.199999809265137]]"
10/12/2017,"[[-0.10000000149011612, 5.400000095367432], [-0.30000001192092896, 2.0999999046325684], [0.0, 4.0], [0.30000001192092896, 1.399999976158142], [0.10000000149011612, 6.699999809265137], [0.0, 4.300000190734863], [0.0, 4.400000095367432], [-0.10000000149011612, 9.300000190734863], [-0.20000000298023224, 3.4000000953674316]]","[[-0.10000000149011612, 5.400000095367432], [-0.30000001192092896, 2.0999999046325684], [0.0, 4.0], [0.30000001192092896, 1.399999976158142], [0.10000000149011612, 6.699999809265137], [0.0, 4.300000190734863], [0.0, 4.400000095367432], [-0.10000000149011612, 9.300000190734863], [-0.20000000298023224, 3.4000000953674316]]"
10/13/2017,"[[-0.30000001192092896, 3.299999952316284], [0.10000000149011612, 2.299999952316284], [-0.10000000149011612, 5.5], [0.10000000149011612, 2.200000047683716], [0.6000000238418579, 1.2000000476837158], [-0.30000001192092896, 1.5], [0.10000000149011612, 3.0999999046325684], [-0.10000000149011612, 1.7999999523162842], [-0.10000000149011612, 2.200000047683716]]","[[-0.30000001192092896, 3.299999952316284], [0.10000000149011612, 2.299999952316284], [-0.10000000149011612, 5.5], [0.10000000149011612, 2.200000047683716], [0.6000000238418579, 1.2000000476837158], [-0.30000001192092896, 1.5], [0.10000000149011612, 3.0999999046325684], [-0.10000000149011612, 1.7999999523162842], [-0.10000000149011612, 2.200000047683716]]"
10/14/2017,"[[0.10000000149011612, 3.5999999046325684], [0.0, 2.4000000953674316], [0.4000000059604645, 0.8999999761581421], [-0.10000000149011612, 6.199999809265137], [-0.10000000149011612, 4.699999809265137], [0.0, 2.4000000953674316], [-0.20000000298023224, 1.100000023841858], [-0.10000000149011612, 3.9000000953674316], [0.20000000298023224, 6.300000190734863], [0.0, 12.399999618530273]]","[[0.10000000149011612, 3.5999999046325684], [0.0, 2.4000000953674316], [0.4000000059604645, 0.8999999761581421], [-0.10000000149011612, 6.199999809265137], [-0.10000000149011612, 4.699999809265137], [0.0, 2.4000000953674316], [-0.20000000298023224, 1.100000023841858], [-0.10000000149011612, 3.9000000953674316], [0.20000000298023224, 6.300000190734863], [0.0, 12.399999618530273]]"
10/15/2017,"[[0.0, 5.699999809265137], [0.0, 9.699999809265137], [-0.20000000298023224, 1.899999976158142], [0.0, 5.0], [0.0, 2.799999952316284], [-0.4000000059604645, 3.200000047683716], [-0.10000000149011612, 3.0], [0.20000000298023224, 3.700000047683716], [-0.10000000149011612, 2.0], [0.20000000298023224, 4.199999809265137]]","[[0.0, 5.699999809265137], [0.0, 9.699999809265137], [-0.20000000298023224, 1.899999976158142], [0.0, 5.0], [0.0, 2.799999952316284], [-0.4000000059604645, 3.200000047683716], [-0.10000000149011612, 3.0], [0.20000000298023224, 3.700000047683716], [-0.10000000149011612, 2.0], [0.20000000298023224, 4.199999809265137]]"
10/16/2017,"[[-0.10000000149011612, 7.199999809265137], [0.0, 17.100000381469727], [0.0, 3.5], [-0.20000000298023224, 4.400000095367432], [0.0, 6.0], [0.0, 2.0], [-0.30000001192092896, 2.5999999046325684], [-0.10000000149011612, 2.0999999046325684], [0.0, 15.100000381469727], [0.0, 1.7000000476837158]]","[[-0.10000000149011612, 7.199999809265137], [0.0, 17.100000381469727], [0.0, 3.5], [-0.20000000298023224, 4.400000095367432], [0.0, 6.0], [0.0, 2.0], [-0.30000001192092896, 2.5999999046325684], [-0.10000000149011612, 2.0999999046325684], [0.0, 15.100000381469727], [0.0, 1.7000000476837158]]"
